"customer_id";"login";"surname";"name";"addres";"phone";"date_delete_record"
7;"asdas";"asdasd";"asdasdas";"-";"";"2026-04-28 00:00:00"
8;"asd";"asd";"asd";"asd";"";"2026-04-28 00:00:00"
9;"pahan";"7613";"713";"nsnadg";"";"2026-04-28 00:00:00"
10;"zasd";"u6elkit9";"nrahethe";"15616";"asdasd";"2026-04-28 00:00:00"
12;"HSFJSJS";"u6elkit9";"nrahethe";"15616";"asdasd";"2026-04-28 00:00:00"
15;"HSFJasdsdSJS";"uф6elkit9";"nrahethe";"15616";"asdasd";"2026-04-28 00:00:00"
102;"user102";"Сидоров";"Алексей";"ул. Гагарина, д.3";"+7(900)100-00-03";"2026-04-28 00:00:00"
103;"user103";"Козлов";"Дмитрий";"ул. Мира, д.4";"+7(900)100-00-04";"2026-04-28 00:00:00"
104;"user104";"Смирнов";"Андрей";"ул. Пушкина, д.5";"+7(900)100-00-05";"2026-04-28 00:00:00"
110;"4as";"asda";"sdas";"dasd";"asdasd";"2026-04-28 00:00:00"
